INFO:__main__:Trial 0 - NDCG: 0.9181360767957846, Hyperparameters: {'learning_rate': 0.9582295026456312, 'num_leaves': 75, 'max_depth': 3}
INFO:__main__:Trial 1 - NDCG: 0.9105737796609742, Hyperparameters: {'learning_rate': 0.4840958347852017, 'num_leaves': 26, 'max_depth': 10}
INFO:__main__:Trial 2 - NDCG: 0.9502997926332879, Hyperparameters: {'learning_rate': 0.28930973612189, 'num_leaves': 78, 'max_depth': 11}
INFO:__main__:Trial 3 - NDCG: 0.9338617052392978, Hyperparameters: {'learning_rate': 0.5226473839270128, 'num_leaves': 97, 'max_depth': 4}
INFO:__main__:Trial 4 - NDCG: 0.9493784676831822, Hyperparameters: {'learning_rate': 0.21004892515364168, 'num_leaves': 215, 'max_depth': 15}
INFO:__main__:Trial 5 - NDCG: 0.8641048539620364, Hyperparameters: {'learning_rate': 0.6804511001566937, 'num_leaves': 158, 'max_depth': 10}
INFO:__main__:Trial 6 - NDCG: 0.9187330932908473, Hyperparameters: {'learning_rate': 0.3866721714404852, 'num_leaves': 53, 'max_depth': 18}
INFO:__main__:Trial 7 - NDCG: 0.9059486849534265, Hyperparameters: {'learning_rate': 0.5704572370094602, 'num_leaves': 149, 'max_depth': 18}
INFO:__main__:Trial 8 - NDCG: 0.962593618038937, Hyperparameters: {'learning_rate': 0.3798134192967336, 'num_leaves': 16, 'max_depth': 3}
INFO:__main__:Trial 9 - NDCG: 0.9635895223209873, Hyperparameters: {'learning_rate': 0.34191741469722364, 'num_leaves': 237, 'max_depth': 4}
INFO:__main__:Trial 10 - NDCG: 0.9264643360291158, Hyperparameters: {'learning_rate': 0.7907564030040446, 'num_leaves': 169, 'max_depth': 9}
INFO:__main__:Trial 11 - NDCG: 0.8922377814581703, Hyperparameters: {'learning_rate': 0.6777623828020171, 'num_leaves': 150, 'max_depth': 15}
INFO:__main__:Trial 12 - NDCG: 0.8969027085645297, Hyperparameters: {'learning_rate': 0.006498708260850861, 'num_leaves': 185, 'max_depth': 15}
INFO:__main__:Trial 13 - NDCG: 0.7934794332015748, Hyperparameters: {'learning_rate': 0.7294494260387315, 'num_leaves': 122, 'max_depth': 13}
